fill	showSelected1	PANEL	group	ymin	ymax	xmin	xmax
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	2	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
#FEE0D2	people slightly injured	1	1	0	1	1341196560	1343373840
